"Produkt","Landbrug","ILUC","Forarbejdning","Emballage","Transport","Detail"
"Nektarin", 0.29,0.08,0.0,0.14,0.15,0.01
"Letmælk",0.32,0.08,0.02,0.08,0.08,0.0
"Havregryn", 1.48,0.84,0.4,-0.08,0.2,0.1,0.0
"Wienerbrød",0.54,0.17,1.02,0.04,0.11,0.01
"Kaffe",2.42,2.21,0.21,0.24,0.32,0.01
"Nøddepasta",1.49,1.27,1.26,0.42,0.39,0.01
"Hindbærmarmelade", 0.84,0.12,0.43,0.32,0.3,0.01
"Grovbolle", 0.54,0.19,0.1,0.04,0.07,0.01
"Avocado", 0.55,0.16,0.0,0.14,0.25,0.01
