Produkt,"Landbrug","ILUC","Forarbejdning","Emballage","Transport","Detail"
Falafel-fars,0.41,0.49,0.18,0.64,0.11,0.0
"Ris"3.47,0.53,0.14,0.2,0.36,0.01
"Salat",0.19,0.06,0.0,0.06,0.09,0.01
"Oksekød",50.19,11.38,-2.65,0.14,1.98,0.0
"Pommes frites",0.41,0.12,2.01,0.26,0.14,0.0
"Sauce",0.65,0.17,0.71,0.42,0.13,0.01
